#Sample interval: 8 ns
#Gate length: ch0: 280 ch1: 50
#Format:
#Channel;time/s;energy/channels;PSD or risetime
0;299.72819043100003;6;233
0;299.7364970105;901;49
0;299.74140997759383;497;0
0;299.77904818400003;34;9
0;299.80621113675005;1879;233
0;299.81383789065626;162;0
0;299.82340188700005;343;0
0;299.827905634;167;250
0;299.83072442400004;65;0
0;299.83460998000004;343;97
0;299.835399224;367;114
0;299.844155904;117;124
0;299.8843902826562;5;0
0;299.9073021873125;693;128
0;299.9081304613125;161;0
0;299.91734327331255;244;0
0;299.92139819465626;150;203
0;299.922795052;97;0
0;299.92979019200004;108;0
0;299.93072074400004;159;192
1;299.722835562;4;36
0;299.951046088;45;3
1;299.968238569125;3;128
0;299.970822504;42;0
0;299.9760189440001;55;0
0;299.9876428826563;113;183
0;299.99147690878135;3;0
0;300.00962607200006;91;0
0;300.01275618931254;167;0
0;300.01849963600006;82;21
1;299.9736314687813;54;85
0;300.06567169000004;724;0
0;300.09292364000004;167;0
0;300.09590882531256;250;0
1;300.0929237920001;8;0
0;300.13234875600006;6;0
0;300.15685007437503;559;80
1;300.1329106450625;4;195
0;300.171122184;123;150
0;300.17568804800004;34;0
0;300.176389624;181;0
0;300.18272207600006;127;0
0;300.18694048959384;1385;236
0;300.20333214681256;910;115
0;300.21243998000006;257;42
0;300.24139460000004;35;0
0;300.259125816;8;0
1;300.172231418;24;0
0;300.2660832615625;1579;0
0;300.28247812800004;67;3
0;300.284522272;117;0
0;300.28677448400003;111;0
0;300.3047197866563;148;10
0;300.347231888;104;0
0;300.357714768;50;3
0;300.3744162040001;81;92
0;300.38671918400007;192;21
0;300.4055123807813;4;198
0;300.40763821759384;276;119
0;300.4076525066563;167;44
0;300.41265032800004;64;61
0;300.41851742600005;199;154
0;300.42904653600004;34;17
0;300.43270483665634;1211;109
0;300.4443657226563;348;0
0;300.4458439007188;1728;92
0;300.45765032400004;216;138
0;300.4696073240001;68;82
0;300.4870813475313;475;0
0;300.5127656760001;124;223
0;300.5511157333125;10;0
0;300.57087566800004;43;0
1;300.40908716184384;6;217
0;300.60492503925;1345;2
0;300.6237727085625;1010;0
1;300.605488528;8;0
0;300.62514038237504;297;0
0;300.63095161600006;202;0
0;300.63932134400005;94;0
0;300.64282376000006;134;0
0;300.6519867951875;196;0
0;300.656471136;170;156
0;300.6668476767813;8;0
0;300.70170243731246;144;208
0;300.721834936;113;0
0;300.7218780047813;311;8
1;300.62906763218757;723;219
0;300.73053324;112;0
0;300.7406819095938;520;0
0;300.74831425368757;851;0
0;300.7621906271876;287;9
0;300.7982371070001;9;186
0;300.80498501793755;1648;221
0;300.8178210880001;166;0
0;300.86107943600007;66;0
0;300.8631080826563;553;40
0;300.8713446853125;134;87
1;300.86649144000006;7;190
1;300.9174466923438;87;0
0;300.87260152600004;191;0
0;300.97486668000005;6;52
0;300.99277093931255;522;205
0;300.99344319200003;99;26
0;300.99534082400004;169;1
0;301.01554395600004;219;1
0;301.017540368;94;0
0;301.03734274400006;96;0
0;301.04975011600004;80;2
0;301.093180392;5;73
0;301.099451;85;0
1;300.9658073553125;2;51
0;301.09959911465626;148;103
0;301.12042468000004;258;154
0;301.16456307428126;719;0
0;301.17875060290623;586;150
0;301.18144702000006;106;0
0;301.18566721118754;228;0
0;301.2224046111875;6;154
0;301.22847083600004;192;0
0;301.229118328;187;111
0;301.24973280531253;550;0
0;301.26175329600005;86;126
0;301.30650563600005;141;127
0;301.33090187600004;68;3
1;301.2546423742188;3;0
0;301.33181068350007;6;236
0;301.382572304;33;21
0;301.389194792;206;0
0;301.403474472;168;0
0;301.403480584;65;244
0;301.40802685600005;131;0
0;301.4318632373125;86;0
0;301.45651549865624;103;248
0;301.47041704400004;5;0
0;301.481564804;215;0
0;301.506067136;118;0
0;301.50757464000003;205;167
0;301.51713810665626;175;131
0;301.5234628255938;279;160
0;301.53712125600003;123;0
0;301.54262954531254;318;0
0;301.54272699200004;34;8
0;301.5437187791875;850;0
0;301.5459598511875;270;74
0;301.5484864946563;331;0
0;301.56576116853125;813;0
0;301.56791409140624;452;0
0;301.58065630665624;119;2
0;301.5871463440001;158;0
0;301.5963774240001;38;6
0;301.60782427731255;6;44
0;301.6386786120001;85;0
0;301.64087445918756;241;0
0;301.6472963226563;165;36
0;301.66906467200005;230;145
0;301.67183324800004;36;16
0;301.679008896;86;207
0;301.680719262;757;0
0;301.70881499109385;825;246
0;301.71697267837504;1198;0
0;301.727610688;104;0
0;301.74200444931256;9;20
0;301.74250631;205;0
0;301.7443116734063;1152;218
0;301.771173368;237;0
0;301.80347798800005;225;0
0;301.816297904;202;1
0;301.8171351375938;270;112
0;301.83367126400003;98;222
0;301.851073664;123;0
0;301.859694444;87;0
0;301.8631933493125;586;14
0;301.863731436;218;0
0;301.8666555375938;218;226
0;301.8847089471875;7;0
0;301.90673275200004;363;0
0;301.915491902;169;0
0;301.9190304671875;1179;0
0;301.919703328;115;0
0;301.948340656;125;0
0;301.96474364;37;6
0;301.96913446400004;71;0
0;301.973312352;103;2
0;301.9870046364376;530;0
0;301.99309968000006;283;0
0;302.00079737600004;327;0
0;302.00716177331253;5;0
0;302.0378605000001;242;125
0;302.050053174;1361;0
0;302.07014168800004;68;0
0;302.07017380531255;93;0
0;302.11652848400007;118;0
0;302.127881992;110;2
0;302.149189615;7;0
1;302.04986527821876;4;0
0;302.18436612000005;545;32
0;302.20043512800004;203;0
0;302.20183756478133;287;63
0;302.209401344;133;41
0;302.219321066125;2468;0
0;302.23257076121877;792;0
0;302.255817232;154;0
0;302.2573588933125;350;0
0;302.2574123727813;265;112
0;302.2584428;353;122
0;302.2730248053125;16;151
0;302.274298588;206;0
0;302.28481204400003;110;197
0;302.32502500400005;242;159
0;302.35017550599997;174;245
0;302.35900998665625;168;0
1;302.1866156154375;2;227
0;302.36091311200005;34;24
0;302.4055559946563;8;222
0;302.4519203333125;174;191
0;302.46918160531254;122;0
0;302.4786480586563;138;0
0;302.48038051200007;107;60
0;302.48467650200007;171;0
0;302.49601010400005;65;0
0;302.5147296800001;157;0
0;302.52736211200005;192;156
0;302.53794276;74;0
0;302.55758076;6;0
0;302.56812696000003;70;92
1;302.5069035772188;5;64
0;302.5780243706563;126;0
0;302.6122067059375;1937;0
0;302.63260998400006;285;180
1;302.5815300420938;6;36
0;302.64661493600005;46;0
0;302.679751452;7;222
0;302.6822897005625;377;224
0;302.715278414;202;0
0;302.7188855636875;682;235
0;302.7302331455938;433;113
0;302.7315613727813;282;0
0;302.73322257250004;877;36
0;302.76967769671876;558;229
0;302.7704812266563;126;250
0;302.7882788600001;133;122
0;302.7980171313125;1801;168
0;302.7990615525938;746;209
0;302.81721313800006;5;0
1;302.7852907590001;26;0
0;302.8174830845625;443;122
0;302.84412427200004;78;0
0;302.90045000000003;153;223
0;302.91180459200007;115;197
0;302.93456993687505;1762;0
0;302.95780712362506;7;0
0;302.9591926626563;338;0
0;302.97705887800004;269;70
0;302.99378810665627;140;1
1;302.83456243787504;8;215
1;303.01905005696875;5;227
0;303.015210661;389;0
0;303.06294542800003;67;0
0;303.075928184;195;8
0;303.09574381600004;4;0
0;303.13011776300004;749;0
0;303.1322876860937;1227;205
0;303.13787393;271;0
0;303.139697692;200;252
0;303.1416938026563;165;0
0;303.1510329866563;133;0
0;303.166706168;166;0
0;303.1845455293125;225;0
0;303.18512955400007;186;8
0;303.1994232640001;61;0
1;303.1814332190313;653;209
0;303.20621797200005;82;73
0;303.2132393520001;7;0
1;303.2132392936876;4;0
0;303.217784046;200;139
0;303.24381457600003;731;122
0;303.2443594468438;390;0
0;303.24442149600003;65;0
0;303.26147372265626;149;223
1;303.2243946437813;349;233
0;303.2699684560001;54;3
0;303.2803328070938;475;0
0;303.29081196000004;234;0
0;303.31174660000005;92;0
0;303.32790023600006;114;183
0;303.35680741;9;1
0;303.360522208;126;0
1;303.2789932674063;289;229
0;303.36781894237504;280;91
0;303.38363640000006;178;0
0;303.384556936;193;21
0;303.3932578095938;257;75
0;303.39357234665624;366;189
0;303.41040271465624;160;0
0;303.43597887100003;400;65
0;303.4383603295938;642;201
0;303.43892436400006;238;0
0;303.44313478531257;272;119
0;303.45541247600005;184;129
1;303.3825674434063;5;0
0;303.47165362931247;163;193
0;303.480568472;4;0
0;303.506990177;402;65
0;303.5194465407813;2188;163
0;303.519656624;81;21
0;303.540613432;38;9
0;303.55235671465624;185;0
0;303.59799610400006;165;0
